state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,14,1,1,1,1,A,4,758,,0,,772,3/21 16:30,3/22 12:35,2020-03-21T20:30:00Z,2020-03-22T16:35:00Z
AL,138,1,1,0,0,C,2,1464,,,0,1602,3/22 10:37,3/22 12:49,2020-03-22T14:37:00Z,2020-03-22T16:49:00Z
AR,118,1,1,1,1,A,4,567,154,13,0,839,3/21 13:47,3/22 12:40,2020-03-21T17:47:00Z,2020-03-22T16:40:00Z
AZ,154,1,1,1,0,B,3,282,87,,2,523,3/22 00:00,3/22 12:37,2020-03-22T04:00:00Z,2020-03-22T16:37:00Z
CA,1531,1,1,1,0,B,3,11304,,,27,12835,3/22 13:34,3/22 14:09,2020-03-22T17:34:00Z,2020-03-22T18:09:00Z
CO,475,1,1,1,1,A,4,4075,,49,5,4550,3/21 18:00,3/22 12:52,2020-03-21T22:00:00Z,2020-03-22T16:52:00Z
CT,223,1,1,1,1,A,4,2877,,43,5,3100,3/21 19:30,3/22 13:07,2020-03-21T23:30:00Z,2020-03-22T17:07:00Z
DC,98,1,1,1,1,A,4,957,,,1,1055,3/21 19:30,3/22 13:11,2020-03-21T23:30:00Z,2020-03-22T17:11:00Z
DE,47,1,1,0,0,C,2,36,,,0,83,3/22 09:50,3/22 13:11,2020-03-22T13:50:00Z,2020-03-22T17:11:00Z
FL,830,1,1,1,1,A,4,7990,963,185,13,9783,3/22 11:00,3/22 13:14,2020-03-22T15:00:00Z,2020-03-22T17:14:00Z
GA,600,1,1,1,1,A,4,3420,,,23,4020,3/22 12:00,3/22 12:07,2020-03-22T16:00:00Z,2020-03-22T16:07:00Z
HI,48,1,1,1,1,A,4,263,,,,311,3/21 18:00,3/22 12:22,2020-03-21T22:00:00Z,2020-03-22T16:22:00Z
IA,90,1,1,0,0,C,2,1049,,,,1139,3/22 00:00,3/22 13:25,2020-03-22T04:00:00Z,2020-03-22T17:25:00Z
ID,42,1,1,1,1,A,4,1175,,,0,1217,3/21 19:55,3/22 13:21,2020-03-21T23:55:00Z,2020-03-22T17:21:00Z
IL,759,1,1,1,1,A,4,5488,,,6,6247,3/21 00:00,3/22 13:26,2020-03-21T04:00:00Z,2020-03-22T17:26:00Z
IN,201,1,1,1,0,B,3,1293,,1,4,1494,3/13 00:59,3/22 11:28,2020-03-13T04:59:00Z,2020-03-22T15:28:00Z
KS,55,1,1,1,0,B,3,417,,,2,472,3/21 11:00,3/22 13:29,2020-03-21T15:00:00Z,2020-03-22T17:29:00Z
KY,99,1,1,1,1,A,4,1472,,,2,1571,3/22 09:00,3/22 11:34,2020-03-22T13:00:00Z,2020-03-22T15:34:00Z
LA,837,1,1,1,1,B,4,2661,,,20,3498,3/22 10:00,3/22 11:50,2020-03-22T14:00:00Z,2020-03-22T15:50:00Z
MA,525,1,1,0,1,B,3,4752,,61,1,5277,3/21 16:00,3/22 13:32,2020-03-21T20:00:00Z,2020-03-22T17:32:00Z
MD,244,1,0,0,0,D,1,94,,,3,338,3/22 10:00,3/22 14:07,2020-03-22T14:00:00Z,2020-03-22T18:07:00Z
ME,89,1,1,1,1,A,4,2264,,,,2353,3/22 12:15,3/22 14:07,2020-03-22T16:15:00Z,2020-03-22T18:07:00Z
MI,807,1,0,0,0,D,1,2069,,,5,2876,3/21 15:00,3/22 13:41,2020-03-21T19:00:00Z,2020-03-22T17:41:00Z
MN,169,1,1,1,1,A,4,4511,,12,1,4680,3/21 12:10,3/22 11:55,2020-03-21T16:10:00Z,2020-03-22T15:55:00Z
MO,90,1,1,0,0,C,2,369,,,3,459,3/21 22:00,3/22 13:44,2020-03-22T02:00:00Z,2020-03-22T17:44:00Z
MS,207,1,1,1,0,B,3,1114,,33,1,1321,3/22 11:20,3/22 13:57,2020-03-22T15:20:00Z,2020-03-22T17:57:00Z
MT,31,1,1,1,0,B,3,1146,,,,1177,3/22 11:36,3/22 13:47,2020-03-22T15:36:00Z,2020-03-22T17:47:00Z
NC,255,1,1,1,1,A,4,6183,,,0,6438,3/22 10:16,3/22 12:55,2020-03-22T14:16:00Z,2020-03-22T16:55:00Z
ND,28,1,1,1,0,B,3,1260,,3,0,1288,3/22 11:39,3/22 13:55,2020-03-22T15:39:00Z,2020-03-22T17:55:00Z
NE,48,1,1,1,1,A,4,356,,,0,404,3/21 00:00,3/22 13:54,2020-03-21T04:00:00Z,2020-03-22T17:54:00Z
